track_id,track_name,artist_name,album_name,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,key,mode,loudness,time_signature,total_plays,total_minutes,avg_skip_rate,years_active
3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,Is This It,Rock,70,0.0223,0.624,0.899,0.000155,0.0975,0.0295,0.797,104.055,C,Major,-5.71,4/4,374,680.4,0.422,"[2017, 2018, 2020, 2021, 2022, 2023, 2024]"
0FgNSsaSZTvbLXUumSO8LQ,Star Treatment,Arctic Monkeys,Tranquility Base Hotel & Casino,Rock,63,0.243,0.581,0.767,0.00131,0.141,0.0527,0.673,120.07,G,Minor,-5.026,4/4,372,1423.9,0.368,"[2018, 2019, 2020, 2021]"
31u6rUeIEXGrYVoh10U7eu,Leave It In My Dreams,The Voidz,Virtue,Alternative,53,0.0226,0.6,0.746,0.0119,0.109,0.0355,0.614,118.551,E,Minor,-4.696,4/4,316,900.6,0.384,"[2018, 2020, 2022, 2024, 2025]"
1Xtz05nIgJiEYdncfd1w8h,Soledad y el Mar (feat. Los Macorinos),Natalia Lafourcade,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Rock,60,0.896,0.726,0.177,2.14e-06,0.116,0.0353,0.618,92.934,C#,Minor,-14.824,4/4,300,628.1,0.382,"[2019, 2020, 2021]"
5uplevkaUGRLExATEbSQiR,Someday,The Growlers,Hung At Heart,Indie,48,0.953,0.402,0.772,0.86,0.172,0.0394,0.748,156.116,A#,Major,-4.578,4/4,293,619.4,0.343,"[2017, 2018, 2019]"
1XGwjdHXHNu3842f75eg3T,The Waiting,Angel Olsen,Half Way Home,Folk,42,0.72,0.606,0.492,0.0,0.125,0.0419,0.616,108.289,G,Major,-8.247,4/4,287,855.2,0.201,"[2022, 2023]"
2AKwcNHeGAqCpD6etK425X,One Point Perspective,Arctic Monkeys,Tranquility Base Hotel & Casino,Indie,62,0.057,0.714,0.585,0.00444,0.144,0.0419,0.842,77.104,G#,Major,-4.57,4/4,250,562.2,0.352,"[2018, 2019, 2020, 2021]"
7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,Children’s Music,68,0.00425,0.538,0.52,0.0,0.367,0.0299,0.678,106.031,A,Major,-7.46,4/4,249,363.7,0.504,"[2017, 2021, 2022, 2023, 2024]"
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,Rock,84,0.186,0.548,0.532,0.000263,0.217,0.0323,0.405,85.03,F,Major,-7.596,4/4,238,535.1,0.369,"[2017, 2018, 2020]"
03v70ZBxmcPX3RWAZMzqaW,Clouds,BØRNS,Dopamine,Pop,58,0.194,0.644,0.478,0.00376,0.106,0.0529,0.496,159.898,B,Major,-6.469,4/4,234,628.2,0.132,[2021]
