year,track_id,track_name,artist_name,album_name,plays,total_minutes,skip_rate,shuffle_rate,has_features
2017,5uplevkaUGRLExATEbSQiR,Someday,The Growlers,Hung At Heart,160,353.08,0.2625,0.3062,True
2017,2b9D3N4pnBUbYXVi7vbWy4,Living In A Memory,The Growlers,Hung At Heart,136,356.73,0.1618,0.5956,True
2017,2N4idqj9TT3HnH2OFT9j0v,Still Beating,Mac DeMarco,This Old Dog,123,289.81,0.1951,0.4797,True
2017,6YQeOwMMAkB9MV9yMWmrjh,Threat of Joy,The Strokes,Future Present Past,114,292.36,0.307,0.4649,True
2017,5n0CTysih20NYdT2S0Wpe8,Trouble,Cage The Elephant,Tell Me I'm Pretty,110,255.58,0.3636,0.1636,True
2017,4BOHngI1gLDA5OZFTZVAHl,One Million Lovers,The Growlers,Hung At Heart,104,227.83,0.3846,0.2212,True
2017,6dU5RxthbuaN31bRbEDlNw,Everlasting Light,The Black Keys,Brothers,101,273.65,0.1881,0.198,True
2017,08l9WKDuRyGeStQ9ojTlFh,Meet Me in the Bathroom,The Strokes,Room On Fire,100,190.9,0.34,0.14,True
2017,17jEoYoOfRD6dvNCMmC9n4,City Club,The Growlers,City Club,100,214.67,0.34,0.12,True
2017,57Xjny5yNzAcsxnusKmAfA,Reptilia,The Strokes,Room On Fire,100,185.31,0.42,0.17,True
2017,43O3Iu8mDJy10i6k8SVRXX,Take It or Leave It,Cage The Elephant,Melophobia,99,254.48,0.1717,0.3131,True
2017,7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,97,154.93,0.3918,0.3814,True
2017,2HWFdHcyJAipiBNMoq0olx,Black Memories,The Growlers,Chinese Fountain,96,194.34,0.1979,0.1979,True
2017,0BQH5uHglCuHVImyCjOOHc,Unknown Brother,The Black Keys,Brothers,91,274.42,0.2967,0.044,True
2017,6gU7ohksNd6LsEJMWfDRhp,Soma,The Strokes,Is This It,91,164.51,0.2637,0.3956,True
2017,3kKb3U3a8jmUJQB9ypE1Jl,Under Control,The Strokes,Room On Fire,90,193.79,0.2,0.2111,True
2017,5KupfEBaVJwL7D2ZN0n1Q1,Trying Your Luck,The Strokes,Is This It,90,240.42,0.1556,0.4222,True
2017,3xuRKGbalblooPG3Fojb4Y,Late Bloomers,The Growlers,Late Bloomers,89,337.25,0.1124,0.1124,True
