master_metadata_track_name,master_metadata_album_artist_name,total_play_count,year,genre,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Someday,The Growlers,160,2017,Indie,5uplevkaUGRLExATEbSQiR,48,0.953,0.402,215780,0.772,0.86,A#,0.172,-4.578,Major,0.0394,156.116,4/4,0.748
Someday,The Growlers,160,2017,Rock,5uplevkaUGRLExATEbSQiR,48,0.953,0.402,215780,0.772,0.86,A#,0.172,-4.578,Major,0.0394,156.116,4/4,0.748
Living In A Memory,The Growlers,136,2017,Indie,2b9D3N4pnBUbYXVi7vbWy4,45,0.188,0.416,195530,0.668,0.637,D,0.728,-4.865,Major,0.0281,85.357,4/4,0.793
Still Beating,Mac DeMarco,123,2017,Indie,2N4idqj9TT3HnH2OFT9j0v,67,0.581,0.709,181587,0.496,0.195,C#,0.151,-10.528,Minor,0.0417,78.477,4/4,0.469
Trouble,Cage The Elephant,115,2017,Blues,5n0CTysih20NYdT2S0Wpe8,68,0.392,0.47,225973,0.623,0.000453,C,0.0992,-5.655,Major,0.0302,77.861,4/4,0.298
Trouble,Cage The Elephant,115,2017,Children’s Music,5n0CTysih20NYdT2S0Wpe8,71,0.392,0.47,225973,0.623,0.000453,C,0.0992,-5.655,Major,0.0302,77.861,4/4,0.298
Trouble,Cage The Elephant,115,2017,Indie,5n0CTysih20NYdT2S0Wpe8,72,0.392,0.47,225973,0.623,0.000453,C,0.0992,-5.655,Major,0.0302,77.861,4/4,0.298
Trouble,Cage The Elephant,115,2017,Pop,5n0CTysih20NYdT2S0Wpe8,72,0.392,0.47,225973,0.623,0.000453,C,0.0992,-5.655,Major,0.0302,77.861,4/4,0.298
Trouble,Cage The Elephant,115,2017,Rock,5n0CTysih20NYdT2S0Wpe8,72,0.392,0.47,225973,0.623,0.000453,C,0.0992,-5.655,Major,0.0302,77.861,4/4,0.298
Ophelia,The Lumineers,114,2017,Folk,3d8y0t70g7hw2FOWl9Z4Fm,70,0.613,0.664,160097,0.573,0.000363,F,0.0857,-6.519,Major,0.0277,76.023,4/4,0.566
Ophelia,The Lumineers,114,2017,Indie,3d8y0t70g7hw2FOWl9Z4Fm,70,0.613,0.664,160097,0.573,0.000363,F,0.0857,-6.519,Major,0.0277,76.023,4/4,0.566
Ophelia,The Lumineers,114,2017,Pop,3d8y0t70g7hw2FOWl9Z4Fm,70,0.613,0.664,160097,0.573,0.000363,F,0.0857,-6.519,Major,0.0277,76.023,4/4,0.566
Ophelia,The Lumineers,114,2017,Rock,3d8y0t70g7hw2FOWl9Z4Fm,70,0.613,0.664,160097,0.573,0.000363,F,0.0857,-6.519,Major,0.0277,76.023,4/4,0.566
Threat of Joy,The Strokes,114,2017,Alternative,6YQeOwMMAkB9MV9yMWmrjh,60,0.216,0.594,264662,0.728,0.0881,C,0.124,-6.917,Major,0.0281,137.97,4/4,0.687
Threat of Joy,The Strokes,114,2017,Children’s Music,6YQeOwMMAkB9MV9yMWmrjh,64,0.216,0.594,264662,0.728,0.0881,C,0.124,-6.917,Major,0.0281,137.97,4/4,0.687
Threat of Joy,The Strokes,114,2017,Indie,6YQeOwMMAkB9MV9yMWmrjh,65,0.216,0.594,264662,0.728,0.0881,C,0.124,-6.917,Major,0.0281,137.97,4/4,0.687
Threat of Joy,The Strokes,114,2017,Rock,6YQeOwMMAkB9MV9yMWmrjh,65,0.216,0.594,264662,0.728,0.0881,C,0.124,-6.917,Major,0.0281,137.97,4/4,0.687
One Million Lovers,The Growlers,104,2017,Indie,4BOHngI1gLDA5OZFTZVAHl,54,0.713,0.5,282739,0.723,0.00107,F,0.107,-5.07,Minor,0.0322,101.97,4/4,0.677
One Million Lovers,The Growlers,104,2017,Rock,4BOHngI1gLDA5OZFTZVAHl,54,0.713,0.5,282739,0.723,0.00107,F,0.107,-5.07,Minor,0.0322,101.97,4/4,0.677
Everlasting Light,The Black Keys,101,2017,Alternative,6dU5RxthbuaN31bRbEDlNw,55,0.127,0.641,203773,0.582,0.00632,E,0.354,-6.554,Major,0.0483,181.039,4/4,0.725
Everlasting Light,The Black Keys,101,2017,Blues,6dU5RxthbuaN31bRbEDlNw,55,0.127,0.641,203773,0.582,0.00632,E,0.354,-6.554,Major,0.0483,181.039,4/4,0.725
Everlasting Light,The Black Keys,101,2017,Children’s Music,6dU5RxthbuaN31bRbEDlNw,58,0.127,0.641,203773,0.582,0.00632,E,0.354,-6.554,Major,0.0483,181.039,4/4,0.725
Everlasting Light,The Black Keys,101,2017,Indie,6dU5RxthbuaN31bRbEDlNw,59,0.127,0.641,203773,0.582,0.00632,E,0.354,-6.554,Major,0.0483,181.039,4/4,0.725
Everlasting Light,The Black Keys,101,2017,Rock,6dU5RxthbuaN31bRbEDlNw,59,0.127,0.641,203773,0.582,0.00632,E,0.354,-6.554,Major,0.0483,181.039,4/4,0.725
Reptilia,The Strokes,100,2017,Alternative,57Xjny5yNzAcsxnusKmAfA,68,0.000563,0.486,219754,0.666,0.789,A,0.101,-5.084,Major,0.033,157.992,4/4,0.741
Reptilia,The Strokes,100,2017,Children’s Music,57Xjny5yNzAcsxnusKmAfA,70,0.000563,0.486,219754,0.666,0.789,A,0.101,-5.084,Major,0.033,157.992,4/4,0.741
Reptilia,The Strokes,100,2017,Indie,57Xjny5yNzAcsxnusKmAfA,71,0.000563,0.486,219754,0.666,0.789,A,0.101,-5.084,Major,0.033,157.992,4/4,0.741
Reptilia,The Strokes,100,2017,Rock,57Xjny5yNzAcsxnusKmAfA,71,0.000563,0.486,219754,0.666,0.789,A,0.101,-5.084,Major,0.033,157.992,4/4,0.741
City Club,The Growlers,100,2017,Indie,17jEoYoOfRD6dvNCMmC9n4,59,0.00445,0.717,196673,0.77,1.79e-06,G,0.214,-6.083,Major,0.0268,110.501,4/4,0.739
City Club,The Growlers,100,2017,Rock,17jEoYoOfRD6dvNCMmC9n4,59,0.00445,0.717,196673,0.77,1.79e-06,G,0.214,-6.083,Major,0.0268,110.501,4/4,0.739
Meet Me in the Bathroom,The Strokes,100,2017,Alternative,08l9WKDuRyGeStQ9ojTlFh,44,6.7e-05,0.426,176160,0.94,0.883,G,0.0772,-3.973,Major,0.0337,139.952,4/4,0.595
Meet Me in the Bathroom,The Strokes,100,2017,Children’s Music,08l9WKDuRyGeStQ9ojTlFh,47,6.7e-05,0.426,176160,0.94,0.883,G,0.0772,-3.973,Major,0.0337,139.952,4/4,0.595
Take It or Leave It,Cage The Elephant,99,2017,Blues,43O3Iu8mDJy10i6k8SVRXX,53,0.0289,0.71,207320,0.847,0.000332,C,0.0613,-3.009,Major,0.0892,119.943,4/4,0.65
Take It or Leave It,Cage The Elephant,99,2017,Children’s Music,43O3Iu8mDJy10i6k8SVRXX,56,0.0289,0.71,207320,0.847,0.000332,C,0.0613,-3.009,Major,0.0892,119.943,4/4,0.65
