master_metadata_track_name,master_metadata_album_artist_name,total_play_count,genre,energy,danceability,valence,tempo,acousticness,instrumentalness
I'll Come Too,James Blake,482,Alternative,0.472,0.661,0.206,73.986,0.757,0.00275
I'll Come Too,James Blake,482,Indie,0.472,0.661,0.206,73.986,0.757,0.00275
I'll Come Too,James Blake,482,R&B,0.472,0.661,0.206,73.986,0.757,0.00275
Star Treatment,Arctic Monkeys,415,Indie,0.767,0.581,0.673,120.07,0.243,0.00131
Star Treatment,Arctic Monkeys,415,Rock,0.767,0.581,0.673,120.07,0.243,0.00131
Someday,The Growlers,402,Indie,0.772,0.402,0.748,156.116,0.953,0.86
Someday,The Growlers,402,Rock,0.772,0.402,0.748,156.116,0.953,0.86
Last Nite,The Strokes,400,Alternative,0.899,0.624,0.797,104.055,0.0223,0.000155
Last Nite,The Strokes,400,Children’s Music,0.899,0.624,0.797,104.055,0.0223,0.000155
Last Nite,The Strokes,400,Indie,0.899,0.624,0.797,104.055,0.0223,0.000155
Last Nite,The Strokes,400,Rock,0.899,0.624,0.797,104.055,0.0223,0.000155
Derka Blues,The Growlers,379,,,,,,,
Leave It In My Dreams,The Voidz,376,Alternative,0.746,0.6,0.614,118.551,0.0226,0.0119
Spring,Angel Olsen,350,,,,,,,
Someday,The Strokes,329,Alternative,0.52,0.538,0.678,106.031,0.00425,0.0
Someday,The Strokes,329,Children’s Music,0.52,0.538,0.678,106.031,0.00425,0.0
Someday,The Strokes,329,Indie,0.52,0.538,0.678,106.031,0.00425,0.0
Someday,The Strokes,329,Rock,0.52,0.538,0.678,106.031,0.00425,0.0
Night Ride,The Growlers,326,Indie,0.724,0.613,0.626,110.076,0.0136,0.0
Night Ride,The Growlers,326,Rock,0.724,0.613,0.626,110.076,0.0136,0.0
Do I Wanna Know?,Arctic Monkeys,318,Indie,0.532,0.548,0.405,85.03,0.186,0.000263
Do I Wanna Know?,Arctic Monkeys,318,Rock,0.532,0.548,0.405,85.03,0.186,0.000263
Threat of Joy,The Strokes,313,Alternative,0.728,0.594,0.687,137.97,0.216,0.0881
Threat of Joy,The Strokes,313,Children’s Music,0.728,0.594,0.687,137.97,0.216,0.0881
Threat of Joy,The Strokes,313,Indie,0.728,0.594,0.687,137.97,0.216,0.0881
Threat of Joy,The Strokes,313,Rock,0.728,0.594,0.687,137.97,0.216,0.0881
Soledad y el Mar (feat. Los Macorinos),Natalia Lafourcade,313,Alternative,0.177,0.726,0.618,92.934,0.896,2.14e-06
Soledad y el Mar (feat. Los Macorinos),Natalia Lafourcade,313,Children’s Music,0.177,0.726,0.618,92.934,0.896,2.14e-06
Soledad y el Mar (feat. Los Macorinos),Natalia Lafourcade,313,Rock,0.177,0.726,0.618,92.934,0.896,2.14e-06
One Million Lovers,The Growlers,313,Indie,0.723,0.5,0.677,101.97,0.713,0.00107
One Million Lovers,The Growlers,313,Rock,0.723,0.5,0.677,101.97,0.713,0.00107
Take Ya' Dancin',Say Hi,308,,,,,,,
Mile High (feat. Travis Scott & Metro Boomin),James Blake,302,Alternative,0.37,0.754,0.228,114.941,0.403,6.22e-05
Mile High (feat. Travis Scott & Metro Boomin),James Blake,302,Indie,0.37,0.754,0.228,114.941,0.403,6.22e-05
Mile High (feat. Travis Scott & Metro Boomin),James Blake,302,R&B,0.37,0.754,0.228,114.941,0.403,6.22e-05
Reptilia,The Strokes,301,Alternative,0.666,0.486,0.741,157.992,0.000563,0.789
Reptilia,The Strokes,301,Children’s Music,0.666,0.486,0.741,157.992,0.000563,0.789
Reptilia,The Strokes,301,Indie,0.666,0.486,0.741,157.992,0.000563,0.789
Reptilia,The Strokes,301,Rock,0.666,0.486,0.741,157.992,0.000563,0.789
Batphone,Arctic Monkeys,297,Indie,0.681,0.675,0.675,106.521,0.312,0.0
Batphone,Arctic Monkeys,297,Rock,0.681,0.675,0.675,106.521,0.312,0.0
The Waiting,Angel Olsen,296,Folk,0.492,0.606,0.616,108.289,0.72,0.0
One Point Perspective,Arctic Monkeys,285,Indie,0.585,0.714,0.842,77.104,0.057,0.00444
One Point Perspective,Arctic Monkeys,285,Rock,0.585,0.714,0.842,77.104,0.057,0.00444
The Meeting Place,The Last Shadow Puppets,285,,,,,,,
City Club,The Growlers,284,Indie,0.77,0.717,0.739,110.501,0.00445,1.79e-06
City Club,The Growlers,284,Rock,0.77,0.717,0.739,110.501,0.00445,1.79e-06
Living In A Memory,The Growlers,282,Indie,0.668,0.416,0.793,85.357,0.188,0.637
Everlasting Light,The Black Keys,280,Alternative,0.582,0.641,0.725,181.039,0.127,0.00632
